*******************MIL CNN*********************
Size of training dataset 1776
Size of Validation dataset 445
Size of testing dataset 585
No. of Epochs: 800
 Batch size: 1
 Learning_rate : 0.01
 Patch size 512*512
 Step 1776
Epoch	BatchTime	AverageBatchTime	Loss	AverageLoss	Accuracy	AverageAccuracy
[1][264/1776]	3.266587	 2.041427	1.386721253	1.425478809	0.000000000	0.490566038	
[1][265/1776]	0.617203	 2.036072	1.384288430	1.425323958	1.000000000	0.492481203	
[1][266/1776]	1.104076	 2.032582	1.385444403	1.425174596	1.000000000	0.494382022	
[1][267/1776]	3.338362	 2.037454	1.385905266	1.425028069	0.000000000	0.492537313	
[1][268/1776]	4.408448	 2.046268	1.386756182	1.424885794	0.000000000	0.490706320	
[1][269/1776]	3.410748	 2.051322	1.387268543	1.424746471	0.000000000	0.488888889	
[1][270/1776]	0.972201	 2.047340	1.394174337	1.424633658	0.000000000	0.487084871	
[1][271/1776]	3.610568	 2.053087	1.388615966	1.424501240	0.000000000	0.485294118	
[1][272/1776]	2.131763	 2.053375	1.386828661	1.424363246	0.000000000	0.483516484	
[1][273/1776]	0.824627	 2.048891	1.386270046	1.424224219	0.000000000	0.481751825	
[1][274/1776]	0.707513	 2.044013	1.386698484	1.424087762	0.000000000	0.480000000	
[1][275/1776]	1.941933	 2.043643	1.386815667	1.423952718	0.000000000	0.478260870	
[1][276/1776]	2.180923	 2.044139	1.388621688	1.423825170	0.000000000	0.476534296	
[1][277/1776]	2.089870	 2.044303	1.384077191	1.423682191	1.000000000	0.478417266	
[1][278/1776]	0.839330	 2.039984	1.389056921	1.423558086	0.000000000	0.476702509	
[1][279/1776]	0.814786	 2.035609	1.386296511	1.423425009	1.000000000	0.478571429	
[1][280/1776]	3.019366	 2.039109	1.388080239	1.423299227	0.000000000	0.476868327	
[1][281/1776]	1.813797	 2.038310	1.389909863	1.423180825	0.000000000	0.475177305	
[1][282/1776]	1.866024	 2.037702	1.380723953	1.423030801	1.000000000	0.477031802	
[1][283/1776]	3.760282	 2.043767	1.386389971	1.422901784	0.000000000	0.475352113	
[1][284/1776]	1.147174	 2.040621	1.385684133	1.422771196	1.000000000	0.477192982	
[1][285/1776]	2.287332	 2.041484	1.388132572	1.422650082	0.000000000	0.475524476	
[1][286/1776]	2.636214	 2.043556	1.383969545	1.422515306	1.000000000	0.477351916	
[1][287/1776]	3.904765	 2.050019	1.387574792	1.422393985	0.000000000	0.475694444	
[1][288/1776]	2.772927	 2.052520	1.387099862	1.422271860	0.000000000	0.474048443	
[1][289/1776]	2.449925	 2.053890	1.383506417	1.422138186	1.000000000	0.475862069	
[1][290/1776]	1.054060	 2.050455	1.385203600	1.422011263	1.000000000	0.477663230	
[1][291/1776]	1.178010	 2.047467	1.385683179	1.421886852	1.000000000	0.479452055	
[1][292/1776]	3.862295	 2.053661	1.385613441	1.421763052	1.000000000	0.481228669	
[1][293/1776]	2.632720	 2.055630	1.382498503	1.421629499	1.000000000	0.482993197	
[1][294/1776]	2.409871	 2.056831	1.388979673	1.421518821	0.000000000	0.481355932	
[1][295/1776]	0.646813	 2.052067	1.384660602	1.421394300	1.000000000	0.483108108	
[1][296/1776]	1.082859	 2.048804	1.388200045	1.421282535	0.000000000	0.481481481	
[1][297/1776]	1.178340	 2.045883	1.385544896	1.421162610	1.000000000	0.483221477	
