*****************PrerTrained Network Testing******************

Size of training dataset 2577
Size of Validation dataset 287
Size of testing dataset 704
No. of Epochs: 100
 Batch size: 10
 Learning_rate : 0.01
 Image size 512*512
 Step 258
Epoch: [1][126/258]	Time 4.671 (4.658)	Loss 1.0985 (1.4510)	Accuracy 0.2000 (0.3913)	
Epoch: [1][127/258]	Time 3.882 (4.652)	Loss 1.0764 (1.4481)	Accuracy 0.5000 (0.3922)	
Epoch: [1][128/258]	Time 3.961 (4.647)	Loss 1.0893 (1.4453)	Accuracy 0.3000 (0.3915)	
Epoch: [1][129/258]	Time 4.453 (4.645)	Loss 1.0684 (1.4424)	Accuracy 0.2000 (0.3900)	
Epoch: [1][130/258]	Time 4.928 (4.647)	Loss 1.1301 (1.4400)	Accuracy 0.2000 (0.3885)	
Epoch: [1][131/258]	Time 5.086 (4.651)	Loss 1.3064 (1.4390)	Accuracy 0.0000 (0.3856)	
Epoch: [1][132/258]	Time 4.386 (4.649)	Loss 1.2264 (1.4374)	Accuracy 0.4000 (0.3857)	
Epoch: [1][133/258]	Time 4.194 (4.645)	Loss 1.1742 (1.4354)	Accuracy 0.2000 (0.3843)	
Epoch: [1][134/258]	Time 4.950 (4.648)	Loss 1.0752 (1.4328)	Accuracy 0.4000 (0.3844)	
Epoch: [1][135/258]	Time 5.250 (4.652)	Loss 1.1572 (1.4307)	Accuracy 0.1000 (0.3824)	
Epoch: [1][136/258]	Time 3.721 (4.645)	Loss 1.1946 (1.4290)	Accuracy 0.1000 (0.3803)	
Epoch: [1][137/258]	Time 4.310 (4.643)	Loss 1.0556 (1.4263)	Accuracy 0.3000 (0.3797)	
Epoch: [1][138/258]	Time 4.344 (4.641)	Loss 1.0009 (1.4232)	Accuracy 0.5000 (0.3806)	
Epoch: [1][139/258]	Time 6.106 (4.651)	Loss 1.1529 (1.4213)	Accuracy 0.6000 (0.3821)	
Epoch: [1][140/258]	Time 4.977 (4.653)	Loss 1.4297 (1.4214)	Accuracy 0.2000 (0.3809)	
Epoch: [1][141/258]	Time 4.563 (4.653)	Loss 1.0338 (1.4186)	Accuracy 0.5000 (0.3817)	
Epoch: [1][142/258]	Time 3.446 (4.644)	Loss 0.9780 (1.4156)	Accuracy 0.5000 (0.3825)	
