*****************PrerTrained Network Testing******************

Size of training dataset 2577
Size of Validation dataset 287
Size of testing dataset 704
No. of Epochs: 100
 Batch size: 5
 Learning_rate : 0.001
 Image size 512*512
 Step 516
Epoch: [1][127/516]	Time 3.268 (3.198)	Loss 1.1566 (1.1174)	Accuracy 0.6000 (0.4313)	
Epoch: [1][128/516]	Time 3.020 (3.197)	Loss 1.2414 (1.1184)	Accuracy 0.2000 (0.4295)	
Epoch: [1][129/516]	Time 2.914 (3.195)	Loss 1.0551 (1.1179)	Accuracy 0.2000 (0.4277)	
Epoch: [1][130/516]	Time 3.596 (3.198)	Loss 0.7992 (1.1155)	Accuracy 0.6000 (0.4290)	
Epoch: [1][131/516]	Time 3.341 (3.199)	Loss 1.1508 (1.1157)	Accuracy 0.2000 (0.4273)	
Epoch: [1][132/516]	Time 3.551 (3.201)	Loss 0.8128 (1.1134)	Accuracy 0.6000 (0.4286)	
Epoch: [1][133/516]	Time 3.790 (3.206)	Loss 0.7144 (1.1105)	Accuracy 0.6000 (0.4299)	
Epoch: [1][134/516]	Time 2.898 (3.204)	Loss 0.7509 (1.1078)	Accuracy 0.6000 (0.4311)	
Epoch: [1][135/516]	Time 2.429 (3.198)	Loss 0.7608 (1.1052)	Accuracy 0.6000 (0.4324)	
Epoch: [1][136/516]	Time 2.772 (3.195)	Loss 0.7109 (1.1024)	Accuracy 0.8000 (0.4350)	
Epoch: [1][137/516]	Time 3.264 (3.195)	Loss 1.1363 (1.1026)	Accuracy 0.4000 (0.4348)	
Epoch: [1][138/516]	Time 4.265 (3.203)	Loss 0.8872 (1.1011)	Accuracy 0.8000 (0.4374)	
Epoch: [1][139/516]	Time 3.659 (3.206)	Loss 1.4000 (1.1032)	Accuracy 0.6000 (0.4386)	
Epoch: [1][140/516]	Time 2.945 (3.204)	Loss 0.8742 (1.1016)	Accuracy 0.6000 (0.4397)	
Epoch: [1][141/516]	Time 3.399 (3.206)	Loss 1.0310 (1.1011)	Accuracy 0.4000 (0.4394)	
Epoch: [1][142/516]	Time 3.886 (3.211)	Loss 0.8302 (1.0992)	Accuracy 0.4000 (0.4392)	
Epoch: [1][143/516]	Time 3.174 (3.210)	Loss 1.4029 (1.1013)	Accuracy 0.4000 (0.4389)	
Epoch: [1][144/516]	Time 3.502 (3.212)	Loss 1.2195 (1.1021)	Accuracy 0.4000 (0.4386)	
Epoch: [1][145/516]	Time 3.802 (3.216)	Loss 1.1966 (1.1028)	Accuracy 0.4000 (0.4384)	
Epoch: [1][146/516]	Time 2.804 (3.214)	Loss 1.2789 (1.1040)	Accuracy 0.2000 (0.4367)	
Epoch: [1][147/516]	Time 3.173 (3.213)	Loss 0.8408 (1.1022)	Accuracy 0.8000 (0.4392)	
Epoch: [1][148/516]	Time 3.391 (3.214)	Loss 1.1503 (1.1025)	Accuracy 0.2000 (0.4376)	
Epoch: [1][149/516]	Time 2.804 (3.212)	Loss 1.0343 (1.1020)	Accuracy 0.2000 (0.4360)	
Epoch: [1][150/516]	Time 3.325 (3.212)	Loss 0.9282 (1.1009)	Accuracy 0.4000 (0.4358)	
Epoch: [1][151/516]	Time 3.524 (3.214)	Loss 1.3021 (1.1022)	Accuracy 0.0000 (0.4329)	
Epoch: [1][152/516]	Time 3.062 (3.213)	Loss 1.2569 (1.1032)	Accuracy 0.2000 (0.4314)	
Epoch: [1][153/516]	Time 2.216 (3.207)	Loss 0.9466 (1.1022)	Accuracy 0.4000 (0.4312)	
Epoch: [1][154/516]	Time 2.591 (3.203)	Loss 0.9346 (1.1011)	Accuracy 0.6000 (0.4323)	
Epoch: [1][155/516]	Time 3.073 (3.202)	Loss 0.9684 (1.1003)	Accuracy 0.4000 (0.4321)	
Epoch: [1][156/516]	Time 3.906 (3.207)	Loss 1.3368 (1.1018)	Accuracy 0.4000 (0.4318)	
Epoch: [1][157/516]	Time 3.318 (3.207)	Loss 1.1495 (1.1021)	Accuracy 0.2000 (0.4304)	
Epoch: [1][158/516]	Time 3.140 (3.207)	Loss 1.1466 (1.1024)	Accuracy 0.2000 (0.4289)	
Epoch: [1][159/516]	Time 3.921 (3.211)	Loss 0.9524 (1.1014)	Accuracy 0.4000 (0.4288)	
Epoch: [1][160/516]	Time 3.200 (3.211)	Loss 1.2668 (1.1025)	Accuracy 0.0000 (0.4261)	
Epoch: [1][161/516]	Time 3.306 (3.212)	Loss 0.9184 (1.1013)	Accuracy 0.6000 (0.4272)	
Epoch: [1][162/516]	Time 3.810 (3.216)	Loss 0.9918 (1.1006)	Accuracy 0.4000 (0.4270)	
Epoch: [1][163/516]	Time 3.193 (3.215)	Loss 0.9499 (1.0997)	Accuracy 0.4000 (0.4268)	
Epoch: [1][164/516]	Time 4.056 (3.221)	Loss 0.8690 (1.0983)	Accuracy 0.8000 (0.4291)	
Epoch: [1][165/516]	Time 2.706 (3.217)	Loss 0.9104 (1.0972)	Accuracy 0.8000 (0.4313)	
Epoch: [1][166/516]	Time 3.569 (3.220)	Loss 0.8993 (1.0960)	Accuracy 0.6000 (0.4323)	
Epoch: [1][167/516]	Time 2.567 (3.216)	Loss 0.9223 (1.0950)	Accuracy 0.6000 (0.4333)	
Epoch: [1][168/516]	Time 3.604 (3.218)	Loss 0.9842 (1.0943)	Accuracy 0.6000 (0.4343)	
Epoch: [1][169/516]	Time 3.961 (3.222)	Loss 1.5444 (1.0970)	Accuracy 0.2000 (0.4329)	
Epoch: [1][170/516]	Time 2.934 (3.221)	Loss 1.9147 (1.1018)	Accuracy 0.4000 (0.4327)	
Epoch: [1][171/516]	Time 3.388 (3.222)	Loss 0.8988 (1.1006)	Accuracy 0.4000 (0.4326)	
Epoch: [1][172/516]	Time 2.340 (3.217)	Loss 1.2836 (1.1016)	Accuracy 0.2000 (0.4312)	
Epoch: [1][173/516]	Time 3.289 (3.217)	Loss 0.9266 (1.1006)	Accuracy 0.4000 (0.4310)	
Epoch: [1][174/516]	Time 3.021 (3.216)	Loss 0.9588 (1.0998)	Accuracy 0.4000 (0.4309)	
Epoch: [1][175/516]	Time 3.459 (3.217)	Loss 0.8674 (1.0985)	Accuracy 0.6000 (0.4318)	
Epoch: [1][176/516]	Time 3.554 (3.219)	Loss 0.9438 (1.0976)	Accuracy 0.4000 (0.4316)	
Epoch: [1][177/516]	Time 3.496 (3.221)	Loss 0.9113 (1.0966)	Accuracy 0.8000 (0.4337)	
Epoch: [1][178/516]	Time 3.314 (3.221)	Loss 1.2174 (1.0973)	Accuracy 0.0000 (0.4313)	
Epoch: [1][179/516]	Time 3.097 (3.221)	Loss 0.8420 (1.0958)	Accuracy 0.4000 (0.4311)	
Epoch: [1][180/516]	Time 4.300 (3.226)	Loss 0.9958 (1.0953)	Accuracy 0.4000 (0.4309)	
Epoch: [1][181/516]	Time 3.550 (3.228)	Loss 1.2041 (1.0959)	Accuracy 0.4000 (0.4308)	
Epoch: [1][182/516]	Time 3.154 (3.228)	Loss 0.9373 (1.0950)	Accuracy 0.6000 (0.4317)	
Epoch: [1][183/516]	Time 2.810 (3.226)	Loss 1.1069 (1.0951)	Accuracy 0.2000 (0.4304)	
Epoch: [1][184/516]	Time 3.631 (3.228)	Loss 0.7965 (1.0935)	Accuracy 0.8000 (0.4324)	
Epoch: [1][185/516]	Time 2.843 (3.226)	Loss 1.2945 (1.0945)	Accuracy 0.2000 (0.4312)	
Epoch: [1][186/516]	Time 3.597 (3.228)	Loss 1.0185 (1.0941)	Accuracy 0.4000 (0.4310)	
Epoch: [1][187/516]	Time 3.615 (3.230)	Loss 1.0666 (1.0940)	Accuracy 0.0000 (0.4287)	
Epoch: [1][188/516]	Time 3.432 (3.231)	Loss 0.8546 (1.0927)	Accuracy 0.4000 (0.4286)	
Epoch: [1][189/516]	Time 2.903 (3.229)	Loss 0.9680 (1.0921)	Accuracy 0.4000 (0.4284)	
Epoch: [1][190/516]	Time 2.514 (3.225)	Loss 1.1464 (1.0924)	Accuracy 0.4000 (0.4283)	
Epoch: [1][191/516]	Time 2.674 (3.222)	Loss 0.8635 (1.0912)	Accuracy 0.4000 (0.4281)	
Epoch: [1][192/516]	Time 3.459 (3.224)	Loss 0.8479 (1.0899)	Accuracy 0.6000 (0.4290)	
Epoch: [1][193/516]	Time 3.963 (3.228)	Loss 0.9716 (1.0893)	Accuracy 0.4000 (0.4289)	
Epoch: [1][194/516]	Time 3.408 (3.228)	Loss 1.1371 (1.0895)	Accuracy 0.2000 (0.4277)	
Epoch: [1][195/516]	Time 2.737 (3.226)	Loss 1.0800 (1.0895)	Accuracy 0.4000 (0.4276)	
Epoch: [1][196/516]	Time 3.025 (3.225)	Loss 0.9462 (1.0888)	Accuracy 0.4000 (0.4274)	
Epoch: [1][197/516]	Time 3.857 (3.228)	Loss 0.9501 (1.0881)	Accuracy 0.2000 (0.4263)	
Epoch: [1][198/516]	Time 2.567 (3.225)	Loss 1.4663 (1.0900)	Accuracy 0.2000 (0.4251)	
Epoch: [1][199/516]	Time 3.299 (3.225)	Loss 0.8723 (1.0889)	Accuracy 0.6000 (0.4260)	
Epoch: [1][200/516]	Time 3.619 (3.227)	Loss 0.8235 (1.0876)	Accuracy 1.0000 (0.4289)	
Epoch: [1][201/516]	Time 3.236 (3.227)	Loss 0.8398 (1.0863)	Accuracy 0.4000 (0.4287)	
Epoch: [1][202/516]	Time 3.125 (3.227)	Loss 1.7761 (1.0897)	Accuracy 0.4000 (0.4286)	
Epoch: [1][203/516]	Time 3.930 (3.230)	Loss 0.9830 (1.0892)	Accuracy 0.6000 (0.4294)	
Epoch: [1][204/516]	Time 3.187 (3.230)	Loss 0.8970 (1.0883)	Accuracy 0.8000 (0.4312)	
Epoch: [1][205/516]	Time 3.893 (3.233)	Loss 1.2685 (1.0891)	Accuracy 0.4000 (0.4311)	
