Step|length,BatchTime,BatchAvgTime,Loss,AvgLoss,Accuracy,AverageAccuracy
[12/15],6.858,8.241,1.1548,1.1015,0.4,0.488
[13/15],7.977,8.222,1.0981,1.1013,0.65,0.5
[14/15],2.03,7.81,1.0438,1.0999,0.714,0.505
[0/15],7.403,7.403,1.1103,1.1103,0.5,0.5
[1/15],7.209,7.306,0.8434,0.9769,0.65,0.575
[2/15],8.998,7.87,0.9617,0.9718,0.65,0.6
[3/15],6.92,7.633,0.9483,0.9659,0.65,0.613
[4/15],7.776,7.661,1.0829,0.9893,0.6,0.61
[5/15],7.006,7.552,0.9741,0.9868,0.5,0.592
[6/15],7.56,7.553,1.2362,1.0224,0.4,0.564
[7/15],7.512,7.548,1.2076,1.0456,0.55,0.562
[8/15],6.394,7.42,1.1815,1.0607,0.45,0.55
[9/15],7.706,7.449,1.0114,1.0557,0.65,0.56
[10/15],7.359,7.44,1.0454,1.0548,0.6,0.564
[11/15],7.583,7.452,0.9878,1.0492,0.55,0.562
[12/15],6.951,7.414,1.1555,1.0574,0.6,0.565
[13/15],7.498,7.42,0.9572,1.0502,0.55,0.564
[14/15],3.157,7.136,1.1054,1.0516,0.286,0.557
[0/15],6.802,6.802,0.8655,0.8655,0.6,0.6
[1/15],9.356,8.079,1.0175,0.9415,0.45,0.525
[2/15],6.627,7.595,0.6732,0.8521,0.75,0.6
[3/15],6.478,7.316,1.058,0.9036,0.7,0.625
[4/15],7.163,7.285,0.7358,0.87,0.65,0.63
[5/15],8.747,7.529,0.9953,0.8909,0.4,0.592
[6/15],7.741,7.559,1.1316,0.9253,0.4,0.564
[7/15],8.673,7.699,1.1398,0.9521,0.3,0.531
[8/15],6.804,7.599,0.8813,0.9442,0.65,0.544
[9/15],7.623,7.602,1.141,0.9639,0.4,0.53
[10/15],7.853,7.624,0.9553,0.9631,0.55,0.532
[11/15],8.228,7.675,0.9314,0.9605,0.65,0.542
[12/15],6.538,7.587,0.975,0.9616,0.65,0.55
[13/15],7.66,7.592,0.9353,0.9597,0.55,0.55
[14/15],2.581,7.258,1.0594,0.9622,0.571,0.551
[0/15],9.244,9.244,1.0246,1.0246,0.65,0.65
[1/15],9.178,9.211,1.1689,1.0968,0.25,0.45
[2/15],7.057,8.493,1.1765,1.1233,0.55,0.483
[3/15],8.672,8.538,0.9052,1.0688,0.45,0.475
[4/15],8.356,8.502,0.9983,1.0547,0.7,0.52
[5/15],8.804,8.552,1.0256,1.0499,0.55,0.525
[6/15],8.015,8.475,0.9525,1.036,0.5,0.521
[7/15],8.117,8.43,1.2152,1.0584,0.25,0.487
[8/15],7.106,8.283,1.0865,1.0615,0.65,0.506
[9/15],7.686,8.224,1.0495,1.0603,0.5,0.505
[10/15],6.949,8.108,1.1065,1.0645,0.4,0.495
[11/15],7.722,8.076,0.9557,1.0554,0.6,0.504
[12/15],7.418,8.025,1.1027,1.0591,0.5,0.504
[13/15],7.764,8.006,0.9357,1.0502,0.55,0.507
[14/15],2.672,7.651,0.7313,1.0425,0.714,0.512
[0/15],7.154,7.154,1.0715,1.0715,0.4,0.4
[1/15],7.29,7.222,1.1687,1.1201,0.45,0.425
[2/15],8.887,7.777,0.8989,1.0464,0.65,0.5
[3/15],7.191,7.631,1.2487,1.0969,0.5,0.5
[4/15],8.417,7.788,1.074,1.0923,0.5,0.5
[5/15],6.746,7.614,1.2534,1.1192,0.45,0.492
[6/15],7.739,7.632,1.2136,1.1327,0.6,0.507
[7/15],8.025,7.681,1.0505,1.1224,0.45,0.5
[8/15],8.153,7.734,0.9693,1.1054,0.45,0.494
[9/15],7.156,7.676,0.9825,1.0931,0.55,0.5
[10/15],7.249,7.637,1.0844,1.0923,0.45,0.495
[11/15],8.828,7.736,1.1722,1.099,0.55,0.5
[12/15],7.044,7.683,1.1628,1.1039,0.4,0.492
[13/15],7.782,7.69,1.1998,1.1107,0.4,0.486
[14/15],2.583,7.35,1.1029,1.1105,0.286,0.481
[0/15],7.269,7.269,0.963,0.963,0.7,0.7
[1/15],6.721,6.995,1.1076,1.0353,0.5,0.6
[2/15],7.534,7.175,1.1883,1.0863,0.5,0.567
[3/15],7.8,7.331,1.1305,1.0974,0.55,0.562
[4/15],8.839,7.632,0.9461,1.0671,0.6,0.57
[5/15],7.992,7.692,1.0047,1.0567,0.5,0.558
[6/15],8.17,7.76,0.9604,1.043,0.6,0.564
[7/15],7.393,7.715,1.1927,1.0617,0.3,0.531
[8/15],6.579,7.588,1.3842,1.0975,0.5,0.528
[9/15],7.454,7.575,0.9902,1.0868,0.6,0.535
[10/15],6.64,7.49,1.1922,1.0964,0.6,0.541
[11/15],7.095,7.457,1.1911,1.1043,0.5,0.537
[12/15],7.219,7.439,1.2031,1.1119,0.45,0.531
[13/15],7.649,7.454,0.9739,1.102,0.5,0.529
[14/15],2.979,7.156,0.839,1.0956,0.714,0.533
[0/15],7.764,7.764,1.0259,1.0259,0.6,0.6
[1/15],7.231,7.498,1.3355,1.1807,0.5,0.55
[2/15],7.113,7.369,0.7585,1.04,0.7,0.6
[3/15],7.964,7.518,0.9815,1.0254,0.5,0.575
[4/15],9.277,7.87,0.8433,0.9889,0.6,0.58
[5/15],7.39,7.79,0.817,0.9603,0.6,0.583
[6/15],7.722,7.78,1.2072,0.9956,0.5,0.571
[7/15],7.98,7.805,1.3162,1.0356,0.3,0.537
[8/15],7.028,7.719,0.8996,1.0205,0.55,0.539
[9/15],7.489,7.696,1.0714,1.0256,0.6,0.545
[10/15],6.451,7.583,1.0236,1.0254,0.45,0.536
[11/15],6.966,7.531,1.1195,1.0333,0.55,0.537
[12/15],7.312,7.514,0.9972,1.0305,0.6,0.542
[13/15],7.698,7.527,0.996,1.028,0.55,0.543
[14/15],2.142,7.168,1.3685,1.0363,0.429,0.54
[0/15],8.291,8.291,0.9819,0.9819,0.55,0.55
[1/15],8.102,8.197,0.8988,0.9403,0.7,0.625
[2/15],7.347,7.913,0.8984,0.9264,0.55,0.6
[3/15],7.448,7.797,0.9858,0.9412,0.55,0.588
[4/15],7.697,7.777,0.9918,0.9513,0.55,0.58
[5/15],7.563,7.741,1.1213,0.9797,0.4,0.55
[6/15],7.34,7.684,0.9994,0.9825,0.6,0.557
[7/15],8.077,7.733,1.0813,0.9948,0.45,0.544
[8/15],7.174,7.671,1.1103,1.0077,0.5,0.539
[9/15],7.373,7.641,1.0795,1.0148,0.45,0.53
[10/15],7.232,7.604,1.1105,1.0235,0.5,0.527
[11/15],7.178,7.569,1.0223,1.0234,0.55,0.529
[12/15],9.314,7.703,0.8238,1.0081,0.65,0.538
[13/15],6.962,7.65,0.9004,1.0004,0.65,0.546
[14/15],2.892,7.333,1.0041,1.0005,0.714,0.551
[0/15],7.427,7.427,1.1638,1.1638,0.6,0.6
[1/15],7.635,7.531,1.0479,1.1058,0.4,0.5
[2/15],7.707,7.589,1.1735,1.1284,0.45,0.483
[3/15],6.849,7.404,1.123,1.127,0.6,0.512
[4/15],6.551,7.234,1.1242,1.1265,0.4,0.49
[5/15],7.472,7.273,0.942,1.0957,0.55,0.5
[6/15],7.462,7.3,0.9542,1.0755,0.5,0.5
[7/15],7.627,7.341,0.9489,1.0597,0.65,0.519
[8/15],6.903,7.293,1.245,1.0803,0.65,0.533
[9/15],7.845,7.348,0.9209,1.0643,0.65,0.545
[10/15],7.402,7.353,0.8609,1.0458,0.65,0.555
[11/15],7.016,7.325,1.2112,1.0596,0.45,0.546
[12/15],7.115,7.309,0.8524,1.0437,0.8,0.565
[13/15],8.264,7.377,1.0104,1.0413,0.5,0.561
[14/15],3.407,7.112,0.7289,1.0337,0.857,0.568
[0/15],6.778,6.778,1.3334,1.3334,0.4,0.4
[1/15],7.711,7.244,0.9592,1.1463,0.65,0.525
[2/15],7.682,7.39,0.9298,1.0741,0.55,0.533
[3/15],8.361,7.633,1.0246,1.0617,0.55,0.537
[4/15],8.54,7.814,0.9497,1.0393,0.6,0.55
[5/15],7.71,7.797,1.1437,1.0567,0.5,0.542
[6/15],7.364,7.735,0.9504,1.0415,0.5,0.536
[7/15],8.032,7.772,1.0659,1.0446,0.45,0.525
[8/15],7.661,7.76,1.208,1.0628,0.45,0.517
[9/15],7.725,7.756,1.0904,1.0655,0.55,0.52
[10/15],6.417,7.635,1.0259,1.0619,0.6,0.527
[11/15],6.06,7.503,1.4605,1.0951,0.4,0.517
[12/15],8.845,7.607,0.728,1.0669,0.7,0.531
[13/15],7.795,7.62,1.2314,1.0786,0.45,0.525
[14/15],2.981,7.311,1.0644,1.0783,0.429,0.523
[0/15],9.016,9.016,0.8486,0.8486,0.75,0.75
[1/15],9.072,9.044,0.9944,0.9215,0.5,0.625
[2/15],7.429,8.506,1.2357,1.0263,0.3,0.517
[3/15],9.049,8.641,0.8783,0.9893,0.55,0.525
[4/15],7.772,8.467,0.8738,0.9662,0.5,0.52
[5/15],8.446,8.464,0.7987,0.9383,0.65,0.542
[6/15],7.374,8.308,1.1164,0.9637,0.6,0.55
[7/15],9.505,8.458,1.0832,0.9786,0.55,0.55
[8/15],7.778,8.382,1.0289,0.9842,0.55,0.55
[9/15],8.054,8.349,0.9091,0.9767,0.6,0.555
[10/15],7.385,8.262,1.0957,0.9875,0.55,0.555
[11/15],7.214,8.175,1.2246,1.0073,0.6,0.558
[12/15],6.919,8.078,1.1247,1.0163,0.55,0.558
[13/15],6.91,7.994,1.0478,1.0186,0.6,0.561
[14/15],1.975,7.593,1.1383,1.0215,0.571,0.561
[0/15],7.81,7.81,0.9962,0.9962,0.6,0.6
[1/15],6.918,7.364,1.0088,1.0025,0.6,0.6
[2/15],9.317,8.015,0.9807,0.9953,0.6,0.6
[3/15],7.607,7.913,1.1688,1.0387,0.4,0.55
[4/15],7.622,7.855,0.821,0.9951,0.65,0.57
[5/15],7.394,7.778,0.7845,0.96,0.75,0.6
[6/15],7.851,7.789,1.15,0.9872,0.55,0.593
[7/15],8.039,7.82,0.9834,0.9867,0.65,0.6
[8/15],7.008,7.73,1.291,1.0205,0.45,0.583
[9/15],7.777,7.734,0.9688,1.0153,0.6,0.585
[10/15],7.367,7.701,0.8826,1.0033,0.7,0.595
[11/15],7.887,7.717,1.057,1.0077,0.5,0.588
[12/15],7.303,7.685,1.2412,1.0257,0.45,0.577
[13/15],6.806,7.622,0.9789,1.0224,0.65,0.582
[14/15],2.771,7.299,1.1407,1.0252,0.143,0.571
[0/15],6.627,6.627,1.0621,1.0621,0.6,0.6
[1/15],8.287,7.457,0.9135,0.9878,0.7,0.65
[2/15],7.858,7.591,1.25,1.0752,0.4,0.567
[3/15],7.381,7.538,0.9682,1.0485,0.65,0.588
[4/15],7.306,7.492,1.1741,1.0736,0.5,0.57
[5/15],6.841,7.383,1.0391,1.0678,0.5,0.558
[6/15],7.815,7.445,0.8483,1.0365,0.6,0.564
[7/15],8.039,7.519,1.1912,1.0558,0.5,0.556
[8/15],6.571,7.414,1.1121,1.0621,0.6,0.561
[9/15],7.329,7.405,1.0252,1.0584,0.65,0.57
[10/15],7.5,7.414,1.0614,1.0586,0.5,0.564
[11/15],6.922,7.373,1.1622,1.0673,0.4,0.55
[12/15],7.125,7.354,1.1069,1.0703,0.45,0.542
[13/15],8.511,7.437,0.9355,1.0607,0.7,0.554
[14/15],2.473,7.106,1.1777,1.0635,0.571,0.554
[0/15],9.167,9.167,0.8097,0.8097,0.65,0.65
[1/15],8.583,8.875,1.1616,0.9856,0.5,0.575
[2/15],9.04,8.93,0.9474,0.9729,0.6,0.583
[3/15],8.166,8.739,0.6355,0.8885,0.85,0.65
[4/15],9.14,8.819,1.0051,0.9118,0.65,0.65
[5/15],7.517,8.602,1.2411,0.9667,0.55,0.633
[6/15],9.134,8.678,0.7886,0.9413,0.75,0.65
[7/15],8.809,8.695,1.0081,0.9496,0.35,0.613
[8/15],7.399,8.551,1.1978,0.9772,0.45,0.594
[9/15],6.728,8.368,1.0137,0.9809,0.65,0.6
[10/15],8.36,8.368,1.0122,0.9837,0.65,0.605
[11/15],7.539,8.299,1.3324,1.0128,0.55,0.6
[12/15],7.651,8.249,1.0684,1.017,0.65,0.604
[13/15],6.21,8.103,1.4664,1.0491,0.45,0.593
[14/15],2.44,7.726,0.8487,1.0442,0.429,0.589
[0/15],7.825,7.825,0.8637,0.8637,0.65,0.65
[1/15],7.66,7.743,0.7874,0.8256,0.7,0.675
[2/15],7.674,7.72,0.9125,0.8545,0.55,0.633
[3/15],7.301,7.615,1.0003,0.891,0.65,0.637
[4/15],8.157,7.723,0.9126,0.8953,0.65,0.64
[5/15],7.325,7.657,1.3207,0.9662,0.6,0.633
[6/15],7.431,7.625,1.1276,0.9893,0.65,0.636
[7/15],7.94,7.664,1.3105,1.0294,0.5,0.619
[8/15],7.797,7.679,0.8517,1.0097,0.55,0.611
[9/15],7.631,7.674,1.1711,1.0258,0.45,0.595
[10/15],6.868,7.601,0.9376,1.0178,0.65,0.6
[11/15],8.238,7.654,0.9788,1.0146,0.75,0.613
[12/15],7.861,7.67,0.9737,1.0114,0.55,0.608
[13/15],7.803,7.679,0.8946,1.0031,0.6,0.607
[14/15],3.251,7.384,0.9627,1.0021,0.714,0.61
[0/15],7.217,7.217,0.9717,0.9717,0.6,0.6
[1/15],7.353,7.285,1.0962,1.034,0.6,0.6
[2/15],7.364,7.311,1.0299,1.0326,0.5,0.567
[3/15],7.04,7.243,1.0447,1.0357,0.45,0.537
[4/15],8.059,7.407,0.9478,1.0181,0.8,0.59
[5/15],7.448,7.413,0.8527,0.9905,0.65,0.6
[6/15],8.547,7.575,0.8393,0.9689,0.65,0.607
[7/15],7.626,7.582,1.017,0.9749,0.7,0.619
[8/15],7.006,7.518,0.9951,0.9772,0.6,0.617
[9/15],7.305,7.497,1.2561,1.0051,0.55,0.61
[10/15],7.736,7.518,1.0031,1.0049,0.35,0.586
[11/15],7.488,7.516,1.1276,1.0151,0.5,0.579
